GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
4;2.0;14.0;N;Odpady z wykańczania zawierające rozpuszczalniki organiczne;142
4;2.0;15.0;B;Odpady z wykańczania inne niż wymienione w 04 02 14;143
4;2.0;16.0;N;Barwniki i pigmenty zawierające substancje niebezpieczne;144
4;2.0;17.0;B;Barwniki i pigmenty inne niż wymienione w 04 02 16;145
4;2.0;19.0;N;Odpady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;146
4;2.0;20.0;B;Odpady z zakładowych oczyszczalni ścieków inne niż wymienione w 04 02 19;147
4;2.0;21.0;B;Odpady z nieprzetworzonych włókien tekstylnych;148
4;2.0;22.0;B;Odpady z przetworzonych włókien tekstylnych;149
4;2.0;80.0;B;Odpady z mokrej obróbki wyrobów tekstylnych;150
4;2.0;99.0;B;Inne nie wymienione odpady;151
5;;;B;Odpady z przeróbki ropy naftowej, oczyszczania gazu ziemnego oraz pirolitycznej przeróbki węgla;152
5;1.0;;B;Odpady z przeróbki (np. rafinacji) ropy naftowej;153
5;1.0;2.0;N;Osady z odsalania;154
5;1.0;3.0;N;Osady z dna zbiorników;155
5;1.0;4.0;N;Kwaśne szlamy z procesów alkilowania;156
5;1.0;5.0;N;Wycieki ropy naftowej;157
5;1.0;6.0;N;Zaolejone osady z konserwacji instalacji lub urządzeń;158
5;1.0;7.0;N;Kwaśne smoły;159
5;1.0;8.0;N;Inne smoły;160
5;1.0;9.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;161
5;1.0;10.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 05 01 09;162
5;1.0;11.0;N;Odpady z alkalicznego oczyszczania paliw;163
5;1.0;12.0;N;Ropa naftowa zawierająca kwasy;164
5;1.0;13.0;B;Osady z uzdatniania wody kotłowej;165
5;1.0;14.0;B;Odpady z kolumn chłodniczych;166
5;1.0;15.0;N;Zużyte naturalne materiały filtracyjne (np. gliny, iły);167
5;1.0;16.0;B;Odpady zawierające siarkę z odsiarczania ropy naftowej;168
5;1.0;17.0;B;Bitum;169
5;1.0;99.0;B;Inne nie wymienione odpady;170
5;6.0;;B;Odpady z pirolitycznej przeróbki węgla;171
5;6.0;1.0;N;Kwaśne smoły;172
5;6.0;3.0;N;Inne smoły;173
5;6.0;4.0;B;Odpady z kolumn chłodniczych;174
5;6.0;80.0;N;Odpady ciekłe zawierające fenole;175
5;6.0;99.0;B;Inne nie wymienione odpady;176
5;7.0;;B;Odpady z oczyszczania i transportu gazu ziemnego;177
5;7.0;1.0;N;Osady zawierające rtęć;178
5;7.0;2.0;B;Odpady zawierające siarkę;179
5;7.0;99.0;B;Inne nie wymienione odpady;180
6;;;B;Odpady z produkcji, przygotowania, obrotu i stosowania produktów przemysłu chemii nieorganicznej;181
6;1.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania kwasów nieorganicznych;182
6;1.0;1.0;N;Kwas siarkowy i siarkawy;183
6;1.0;2.0;N;Kwas chlorowodorowy;184
6;1.0;3.0;N;Kwas fluorowodorowy;185
6;1.0;4.0;N;Kwas fosforowy i fosforawy;186
6;1.0;5.0;N;Kwas azotowy i azotawy;187
6;1.0;6.0;N;Inne kwasy;188
6;1.0;99.0;B;Inne nie wymienione odpady;189
6;2.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania wodorotlenków;190
6;2.0;1.0;N;Wodorotlenek wapniowy;191
6;2.0;3.0;N;Wodorotlenek amonowy;192
6;2.0;4.0;N;Wodorotlenek sodowy i potasowy;193
6;2.0;5.0;N;Inne wodorotlenki;194
6;2.0;99.0;B;Inne nie wymienione odpady;195
6;3.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania soli i ich roztworów oraz tlenków metali;196
6;3.0;11.0;N;Sole i roztwory zawierające cyjanki;197
6;3.0;13.0;N;Sole i roztwory zawierające metale ciężkie;198
6;3.0;14.0;B;Sole i roztwory inne niż wymienione w 06 03 11 i 06 03 13;199
6;3.0;15.0;N;Tlenki metali zawierające metale ciężkie;200
6;3.0;16.0;B;Tlenki metali inne niż wymienione w 06 03 15;201
6;3.0;99.0;B;Inne nie wymienione odpady;202
6;4.0;;B;Odpady zawierające metale inne niż wymienione w 06 03;203
6;4.0;3.0;N;Odpady zawierające arsen;204
6;4.0;4.0;N;Odpady zawierające rtęć;205
6;4.0;5.0;N;Odpady zawierające inne metale ciężkie;206
6;4.0;99.0;B;Inne nie wymienione odpady;207
6;5.0;;B;Osady z zakładowych oczyszczalni ścieków;208
6;5.0;2.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;209
6;5.0;3.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 06 05 02;210
6;6.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania związków siarki oraz z chemicznych procesów przetwórstwa siarki i odsiarczania;211
6;6.0;2.0;N;Odpady zawierające niebezpieczne siarczki;212
6;6.0;3.0;B;Odpady zawierające siarczki inne niż wymienione w 06 06 02;213
6;6.0;99.0;B;Inne nie wymienione odpady;214
6;7.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania chlorowców oraz z chemicznych procesów przetwórstwa chloru;215
6;7.0;1.0;N;Odpady azbestowe z elektrolizy;216
6;7.0;2.0;N;Węgiel aktywny z produkcji chloru;217
6;7.0;3.0;N;Osady siarczanu baru zawierające rtęć;218
6;7.0;4.0;N;Roztwory i kwasy (np. kwas siarkowy);219
6;7.0;99.0;B;Inne nie wymienione odpady;220
6;8.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania krzemu oraz pochodnych krzemu;221
6;8.0;2.0;N;Odpady zawierające niebezpieczne silikony;222
6;8.0;99.0;B;Inne nie wymienione odpady;223
6;9.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania chemikaliów fosforowych oraz z chemicznych procesów przetwórstwa fosforu;224
6;9.0;2.0;B;Żużel fosforowy;225
6;9.0;3.0;N;Poreakcyjne odpady związków wapnia zawierające lub zanieczyszczone substancjami niebezpiecznymi;226
6;9.0;4.0;B;Poreakcyjne odpady związków wapnia inne niż wymienione w 06 09 03 i 06 09 80;227
6;9.0;80.0;B;Fosfogipsy;228
6;9.0;81.0;B;Fosfogipsy wymieszane z żużlami, popiołami paleniskowymi, i pyłami z kotłów (z wyłączeniem pyłów z kotłów wymienionych w 10 01 04);229
6;9.0;99.0;B;Inne nie wymienione odpady;230
6;10.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania chemikaliów azotowych, z chemicznych procesów przetwórstwa azotu oraz z produkcji nawozów azotowych i innych;231
6;10.0;2.0;N;Odpady zawierające substancje niebezpieczne;232
6;10.0;99.0;B;Inne nie wymienione odpady;233
6;11.0;;B;Odpady z produkcji pigmentów oraz zmętniaczy nieorganicznych;234
6;11.0;1.0;B;Poreakcyjne odpady związków wapnia z produkcji dwutlenku tytanu;235
6;11.0;80.0;B;Odpady z produkcji związków cyrkonu;236
6;11.0;81.0;B;Odpady z produkcji związków chromu;237
6;11.0;82.0;B;Odpady z produkcji związków kobaltu;238
6;11.0;83.0;B;Odpadowy siarczan żelazaowy;239
6;11.0;99.0;B;Inne nie wymienione odpady;240
6;13.0;;B;Odpady z innych nieorganicznych procesów chemicznych;241
6;13.0;1.0;N;Nieorganiczne środki ochrony roślin (np. pestycydy), środki do konserwacji drewna oraz inne biocydy;242
6;13.0;2.0;N;Zużyty węgiel aktywny (z wyłączeniem 06 07 02);243
6;13.0;3.0;B;Czysta sadza;244
6;13.0;4.0;N;Odpady z przetwarzania azbestu;245
6;13.0;5.0;N;Sadza zawierająca lub zanieczyszczona substancjami niebezpiecznymi;246
6;13.0;99.0;B;Inne nie wymienione odpady;247
7;;;B;Odpady z produkcji, przygotowania, obrotu i stosowania produktów przemysłu chemii organicznej;248
7;1.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania podstawowych produktów przemysłu chemii organicznej;249
7;1.0;1.0;N;Wody popłuczne i ługi macierzyste;250
7;1.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;251
7;1.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;252
7;1.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;253
7;1.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;254
7;1.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;255
7;1.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;256
7;1.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;257
7;1.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 01 11;258
7;1.0;80.0;B;Wapno pokarbidowe nie zawierające substancji niebezpiecznych (inne niż wymienione w 07 01 08);259
7;1.0;99.0;B;Inne nie wymienione odpady;260
7;2.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania tworzyw sztucznych oraz kauczuków i włókien syntetycznych;261
7;2.0;1.0;N;Wody popłuczne i ługi macierzyste;262
7;2.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;263
7;2.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;264
7;2.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;265
7;2.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;266
7;2.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;267
7;2.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;268
7;2.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;269
7;2.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 02 11;270
7;2.0;13.0;B;Odpady tworzyw sztucznych;271
7;2.0;14.0;N;Odpady z dodatków zawierające substancje niebezpieczne (np. plastyfikatory, stabilizatory);272
7;2.0;15.0;B;Odpady z dodatków inne niż wymienione w 07 02 14;273
7;2.0;16.0;N;Odpady zawierające niebezpieczne silikony;274
7;2.0;17.0;B;Odpady zawierające silikony inne niż wymienione w 07 02 16;275
7;2.0;80.0;B;Odpady z przemysłu gumowego i produkcji gumy;276
7;2.0;99.0;B;Inne nie wymienione odpady;277
7;3.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania organicznych barwników oraz pigmentów (z wyłączeniem podgrupy 06 11);278
7;3.0;1.0;N;Wody popłuczne i ługi macierzyste;279
7;3.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;280
7;3.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;281
7;3.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;282
7;3.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;283
7;3.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;284
7;3.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;285
7;3.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;286
7;3.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 03 11;287
7;3.0;99.0;B;Inne nie wymienione odpady;288
7;4.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania organicznych środków ochrony roślin (z wyłączeniem 02 01 08 i 02 01 09), środków do konserwacji drewna (z wyłączeniem 03 02) i innych biocydów;289
7;4.0;1.0;N;Wody popłuczne i ługi macierzyste;290
7;4.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;291
7;4.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;292
7;4.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;293
7;4.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;294
7;4.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;295
7;4.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;296
7;4.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;297
7;4.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 04 11;298
7;4.0;13.0;N;Odpady stałe zawierające substancje niebezpieczne;299
7;4.0;80.0;N;Przeterminowane środki ochrony roślin I i II klasy toksyczności (bardzo toksyczne i toksyczne);300
7;4.0;81.0;B;Przeterminowane środki ochrony roślin inne niż wymienione w 07 04 80;301
7;4.0;99.0;B;Inne nie wymienione odpady;302
7;5.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania farmaceutyków;303
7;5.0;1.0;N;Wody popłuczne i ługi macierzyste;304
7;5.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;305
7;5.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;306
7;5.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;307
7;5.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;308
7;5.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;309
7;5.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;310
7;5.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;311
7;5.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 05 11;312
7;5.0;13.0;N;Odpady stałe zawierające substancje niebezpieczne;313
7;5.0;14.0;B;Odpady stałe inne niż wymienione w 07 05 13;314
7;5.0;80.0;N;Odpady ciekłe zawierające substancje niebezpieczne;315
7;5.0;81.0;B;Odpady ciekłe inne niż wymienione w 07 05 80;316
7;5.0;99.0;B;Inne nie wymienione odpady;317
7;6.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania tłuszczów, natłustek, mydeł, detergentów, środków dezynfekujących i kosmetyków;318
7;6.0;1.0;N;Wody popłuczne i ługi macierzyste;319
7;6.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;320
7;6.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;321
7;6.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;322
7;6.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;323
7;6.0;9.0;N;Zużyte sorbenty i osady pofiltracyjne zawierające związki chlorowców;324
7;6.0;10.0;N;Inne zużyte sorbenty i osady pofiltracyjne;325
7;6.0;11.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;326
7;6.0;12.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 07 06 11;327
7;6.0;80.0;B;Ziemia bieląca z rafinacji oleju;328
7;6.0;81.0;B;Zwroty kosmetyków i próbek;329
7;6.0;99.0;B;Inne nie wymienione odpady;330
7;7.0;;B;Odpady z produkcji, przygotowania, obrotu i stosowania innych nie wymienionych produktów chemicznych;331
7;7.0;1.0;N;Wody popłuczne i ługi macierzyste;332
7;7.0;3.0;N;Rozpuszczalniki chlorowcoorganiczne, roztwory z przemywania i ciecze macierzyste;333
7;7.0;4.0;N;Inne rozpuszczalniki organiczne, roztwory z przemywania i ciecze macierzyste;334
7;7.0;7.0;N;Pozostałości podestylacyjne i poreakcyjne zawierające związki chlorowców;335
7;7.0;8.0;N;Inne pozostałości podestylacyjne i poreakcyjne;336
